Indicator,RegionID,Date,Year,Home_value,Mongo_ID,City_Name,City_Size
ZATT,41715,1/31/2017,2017,468979,604031bdbff9453704dc7d60,"Williamsburg, VA",Medium
ZATT,41715,12/31/2016,2016,468522,604031bdbff9453704dc7d61,"Williamsburg, VA",Medium
ZATT,41715,11/30/2016,2016,468538,604031bdbff9453704dc7d62,"Williamsburg, VA",Medium
ZATT,41715,10/31/2016,2016,468354,604031bdbff9453704dc7d63,"Williamsburg, VA",Medium
ZATT,41715,9/30/2016,2016,468588,604031bdbff9453704dc7d64,"Williamsburg, VA",Medium
ZATT,41715,8/31/2016,2016,468466,604031bdbff9453704dc7d65,"Williamsburg, VA",Medium
ZATT,41715,7/31/2016,2016,468386,604031bdbff9453704dc7d66,"Williamsburg, VA",Medium
ZATT,41715,6/30/2016,2016,468509,604031bdbff9453704dc7d67,"Williamsburg, VA",Medium
ZATT,41715,5/31/2016,2016,468695,604031bdbff9453704dc7d68,"Williamsburg, VA",Medium
ZATT,41715,4/30/2016,2016,468647,604031bdbff9453704dc7d69,"Williamsburg, VA",Medium
ZATT,41715,3/31/2016,2016,466828,604031bdbff9453704dc7d6a,"Williamsburg, VA",Medium
ZATT,41715,2/29/2016,2016,464705,604031bdbff9453704dc7d6b,"Williamsburg, VA",Medium
ZATT,41715,1/31/2016,2016,464452,604031bdbff9453704dc7d6c,"Williamsburg, VA",Medium
ZATT,41715,12/31/2015,2015,465982,604031bdbff9453704dc7d6d,"Williamsburg, VA",Medium
ZATT,41715,11/30/2015,2015,467798,604031bdbff9453704dc7d6e,"Williamsburg, VA",Medium
ZATT,41715,10/31/2015,2015,467634,604031bdbff9453704dc7d6f,"Williamsburg, VA",Medium
ZATT,41715,9/30/2015,2015,466254,604031bdbff9453704dc7d70,"Williamsburg, VA",Medium
ZATT,41715,8/31/2015,2015,466110,604031bdbff9453704dc7d71,"Williamsburg, VA",Medium
ZATT,41715,7/31/2015,2015,466506,604031bdbff9453704dc7d72,"Williamsburg, VA",Medium
ZATT,41715,6/30/2015,2015,466886,604031bdbff9453704dc7d73,"Williamsburg, VA",Medium
ZATT,41715,5/31/2015,2015,466792,604031bdbff9453704dc7d74,"Williamsburg, VA",Medium
ZATT,41715,4/30/2015,2015,466942,604031bdbff9453704dc7d75,"Williamsburg, VA",Medium
ZATT,41715,3/31/2015,2015,467845,604031bdbff9453704dc7d76,"Williamsburg, VA",Medium
ZATT,41715,2/28/2015,2015,468213,604031bdbff9453704dc7d77,"Williamsburg, VA",Medium
ZATT,41715,1/31/2015,2015,465973,604031bdbff9453704dc7d78,"Williamsburg, VA",Medium
ZATT,41715,12/31/2014,2014,463791,604031bdbff9453704dc7d79,"Williamsburg, VA",Medium
ZATT,41715,11/30/2014,2014,460806,604031bdbff9453704dc7d7a,"Williamsburg, VA",Medium
ZATT,41715,10/31/2014,2014,461183,604031bdbff9453704dc7d7b,"Williamsburg, VA",Medium
ZATT,41715,9/30/2014,2014,462341,604031bdbff9453704dc7d7c,"Williamsburg, VA",Medium
ZATT,41715,8/31/2014,2014,462835,604031bdbff9453704dc7d7d,"Williamsburg, VA",Medium
ZATT,41715,7/31/2014,2014,461948,604031bdbff9453704dc7d7e,"Williamsburg, VA",Medium
ZATT,41715,6/30/2014,2014,461499,604031bdbff9453704dc7d7f,"Williamsburg, VA",Medium
ZATT,41715,5/31/2014,2014,461369,604031bdbff9453704dc7d80,"Williamsburg, VA",Medium
ZATT,41715,4/30/2014,2014,461399,604031bdbff9453704dc7d81,"Williamsburg, VA",Medium
ZATT,41715,3/31/2014,2014,460680,604031bdbff9453704dc7d82,"Williamsburg, VA",Medium
ZATT,41715,2/28/2014,2014,461079,604031bdbff9453704dc7d83,"Williamsburg, VA",Medium
ZATT,41715,1/31/2014,2014,462102,604031bdbff9453704dc7d84,"Williamsburg, VA",Medium
ZATT,41715,12/31/2013,2013,461058,604031bdbff9453704dc7d85,"Williamsburg, VA",Medium
ZATT,41715,11/30/2013,2013,460504,604031bdbff9453704dc7d86,"Williamsburg, VA",Medium
ZATT,41715,10/31/2013,2013,457774,604031bdbff9453704dc7d87,"Williamsburg, VA",Medium
ZATT,41715,9/30/2013,2013,456725,604031bdbff9453704dc7d88,"Williamsburg, VA",Medium
ZATT,41715,8/31/2013,2013,455545,604031bdbff9453704dc7d89,"Williamsburg, VA",Medium
ZATT,41715,7/31/2013,2013,455061,604031bdbff9453704dc7d8a,"Williamsburg, VA",Medium
ZATT,41715,6/30/2013,2013,454336,604031bdbff9453704dc7d8b,"Williamsburg, VA",Medium
ZATT,41715,5/31/2013,2013,452626,604031bdbff9453704dc7d8c,"Williamsburg, VA",Medium
ZATT,41715,4/30/2013,2013,451044,604031bdbff9453704dc7d8d,"Williamsburg, VA",Medium
ZATT,41715,3/31/2013,2013,449956,604031bdbff9453704dc7d8e,"Williamsburg, VA",Medium
ZATT,41715,2/28/2013,2013,449053,604031bdbff9453704dc7d8f,"Williamsburg, VA",Medium
