RegionID,Year,Home_value
126011,2018,557048
126011,2018,555179
126011,2018,552823
126011,2018,549958
126011,2018,549506
126011,2018,549218
126011,2018,550527
126011,2017,549112
126011,2017,546489
126011,2017,541970
126011,2017,538148
126011,2017,535613
126011,2017,533510
126011,2017,531327
126011,2017,529740
126011,2017,528430
126011,2017,526391
126011,2017,523769
126011,2017,521194
126011,2016,518527
126011,2016,516949
126011,2016,518439
126011,2016,519884
126011,2016,519352
126011,2016,516080
126011,2016,513540
126011,2016,511539
126011,2016,511417
126011,2016,509561
126011,2016,507446
126011,2016,502110
126011,2015,499453
126011,2015,494310
126011,2015,488635
126011,2015,482795
126011,2015,479141
126011,2015,477659
126011,2015,475394
126011,2015,471268
126011,2015,464531
126011,2015,461449
126011,2015,460369
126011,2015,462216
126011,2014,458822
126011,2014,458725
126011,2014,457015
126011,2014,458421
126011,2014,457030
126011,2014,456573
126011,2014,456622
126011,2014,457462
126011,2014,458933
126011,2014,456311
126011,2014,452330
126011,2014,447807
126011,2013,447411
126011,2013,444043
126011,2013,441697
126011,2013,434696
126011,2013,430227
126011,2013,424439
126011,2013,419678
126011,2013,415745
126011,2013,412046
126011,2013,410856
126011,2013,408603
126011,2013,406889
126011,2012,404603
126011,2012,404305
126011,2012,402857
126011,2012,403438
126011,2012,403165
126011,2012,403387
126011,2012,401725
126011,2012,399404
126011,2012,397771
126011,2012,395524
126011,2012,394657
126011,2012,393801
126011,2011,392002
126011,2011,389420
126011,2011,388128
126011,2011,387573
126011,2011,388016
126011,2011,388237
126011,2011,389783
126011,2011,392528
126011,2011,394453
126011,2011,396910
126011,2011,398237
126011,2011,400200
126011,2010,404200
126011,2010,408779
126011,2010,411710
126011,2010,412733
126011,2010,413670
126011,2010,415499
126011,2010,418509
126011,2010,420139
126011,2010,422280
126011,2010,423810
126011,2010,427303
126011,2010,429210
126011,2009,429879
126011,2009,430880
126011,2009,435954
126011,2009,442825
126011,2009,448674
126011,2009,454186
126011,2009,457121
126011,2009,460850
126011,2009,464591
126011,2009,471015
126011,2009,476991
126011,2009,483972
126011,2008,491993
126011,2008,500174
126011,2008,506009
126011,2008,511175
126011,2008,516791
126011,2008,521163
126011,2008,528783
126011,2008,538005
126011,2008,550173
126011,2008,558774
126011,2008,569001
126011,2008,576850
126011,2007,583867
126011,2007,590355
126011,2007,599538
126011,2007,611284
126011,2007,622393
126011,2007,634193
126011,2007,643701
126011,2007,651953
126011,2007,657546
126011,2007,662505
126011,2007,664313
126011,2007,668802
126011,2006,674653
126011,2006,682179
126011,2006,684935
126011,2006,685271
126011,2006,683740
126011,2006,681999
126011,2006,679238
126011,2006,675649
126011,2006,670466
126011,2006,665394
126011,2006,657882
